"x","year","month","country"
2966896.43936097,2025,3,"France"
843876.489792424,2024,1,"France"
2966896.43936097,2024,6,"France"
2966896.43936097,2024,10,"France"
2966896.43936097,2024,10,"France"
2966896.43936097,2023,11,"France"
480611.369746456,2022,5,"France"
2966896.43936097,2022,8,"France"
2966896.43936097,2022,9,"France"
2924352.10456597,2022,11,"France"
1485591.85601076,2021,1,"Netherlands"
2966896.43936097,2021,4,"France"
2966896.43936097,2021,4,"France"
2966896.43936097,2020,5,"France"
4676188.14028269,2018,2,"Italy"
568082.024239653,2014,5,"France"
568082.024239653,2014,5,"France"
NA,2012,10,"France"
NA,2012,10,"France"
NA,2012,10,"France"
NA,2012,10,"France"
NA,2012,10,"France"
335994.868082752,2011,4,"France"
362584.425667042,2010,3,"France"
4607289.57282446,1970,NA,"Greece"
2889480.85782713,1952,11,"France"
NA,2019,9,"Ukraine"
2394875.26371481,NA,NA,"Spain"
